,RK,Name,POS,REC,YDS,AVG,LNG,TD,Team
702,701,Kris Mitchell,WR,1,12,12.0,12,0,ND
703,701,Konner Fox,TE,2,12,6.0,9,0,TXST
704,701,Javon Harvey,WR,1,12,12.0,12,0,DUKE
705,701,Josiah Miamen,TE,2,12,6.0,7,0,FIU
706,701,Henry Parrish Jr.,RB,1,12,12.0,12,0,MISS
707,701,Leshon Williams,RB,2,12,6.0,6,0,IOWA
708,701,Kendall Karr,TE,1,12,12.0,12,0,CCU
709,701,Anthony Sambucci,WR,2,12,6.0,12,0,WMU
710,701,Devin Boddie Jr.,WR,1,12,12.0,12,0,WYO
711,701,Victor Konopka,TE,1,12,12.0,12,0,RUTG
712,701,Zahir Abdus-Salaam,RB,1,12,12.0,12,0,WMU
713,701,Devaughn Mortimer,WR,2,12,6.0,8,0,WMU
714,701,Xavier Guillory,WR,1,12,12.0,12,0,ASU
715,701,Fred Farrier,WR,1,12,12.0,12,0,IIUK
716,701,Kyle Morlock,TE,1,12,12.0,12,0,FSU
717,701,Jonah Wilson,WR,2,12,6.0,9,0,HOU
718,701,Alex Bullock,WR,1,12,12.0,12,0,NEB
719,701,Nazeviah Burris,WR,1,12,12.0,12,0,FIU
720,701,Luke Lindenmeyer,TE,1,12,12.0,12,0,NEB
721,701,Elijah Sarratt,WR,2,12,6.0,7,0,IU
722,701,Nic Trujillo,WR,3,12,4.0,11,0,UNM
723,701,Jordan Faison,WR,2,12,6.0,8,0,ND
724,701,Dayton Sneed,WR,1,12,12.0,12,0,TENN
725,701,Vince Brown,TE,2,12,6.0,12,0,IICSU
726,701,Quin Smith,WR,1,12,12.0,12,0,AFA
727,701,Adam Moore,TE,2,12,6.0,8,0,SMU
728,701,TJ Pride,WR,2,12,6.0,8,0,NMSU
729,730,Jam Griffin,RB,2,11,5.5,7,0,ORST
730,730,Patrick Herbert,TE,2,11,5.5,7,0,ORE
731,730,Noah Smith,WR,2,11,5.5,9,0,SHSU
732,730,Kentrel Bullock,RB,1,11,11.0,11,0,USA
733,730,Chimere Dike,WR,1,11,11.0,11,0,FLA
734,730,Ricky White,WR,2,11,5.5,14,0,IIIUNLV
735,730,Cane Berrong,TE,2,11,5.5,6,0,CCU
736,730,Juan Davis,TE,1,11,11.0,11,0,TEX
737,730,Andre JohnsonM-,WR,1,11,11.0,11,0,OH
738,730,Nick Miles,TE,2,11,5.5,6,0,WYO
739,730,Jaden Nixon,RB,1,11,11.0,11,0,WMU
740,730,Sam Roush,TE,2,11,5.5,6,0,STAN
741,730,Jordan Brown,WR,1,11,11.0,11,0,TTU
742,730,Anthony Simpson,WR,2,11,5.5,10,0,MASS
743,730,Trond Grizzell,WR,1,11,11.0,11,0,CAL
744,730,Keyshaun Pipkin,WR,1,11,11.0,11,1,NIU
745,730,Tiger Bachmeier,WR,2,11,5.5,8,0,STAN
746,730,Trey Cornist,RB,1,11,11.0,11,0,TULN
747,730,Kylan Fox,TE,2,11,5.5,6,0,UCF
748,730,Nick Marsh,WR,1,11,11.0,11,0,MSU
749,730,Roman Mangini,WR,1,11,11.0,11,0,NEB
750,730,Tawee Walker,RB,2,11,5.5,8,0,WIS
751,730,Dallas Payne,TE,1,11,11.0,11,0,UAB
752,730,Bryce Pierre,TE,1,11,11.0,11,0,UCLA
753,730,Desmond Reid,RB,3,11,3.7,6,0,PITT
754,730,Kendrick Bell,WR,1,11,11.0,11,0,MICH
755,730,Joshua Dye,RB,1,11,11.0,11,0,UTEP
756,730,Cody Hagen,WR,1,11,11.0,11,0,BYU
757,758,John Emery Jr.,RB,1,10,10.0,10,0,LSU
758,758,Michel Dukes,RB,2,10,5.0,8,0,GAST
759,758,Kamari Morales,TE,1,10,10.0,10,0,BC
760,758,Jordan Waters,RB,1,10,10.0,10,0,NCSU
761,758,Marquez Cooper,RB,3,10,3.3,9,0,SDSU
762,758,Joshua Simon,TE,1,10,10.0,10,0,SC
763,758,Dacari Collins,WR,2,10,5.0,7,0,NCSU
764,758,Nay'Quan Wright,RB,1,10,10.0,10,0,USF
765,758,Beau Johnson,TE,2,10,5.0,7,1,GASO
766,758,Jackson Hawes,TE,1,10,10.0,10,0,GT
767,758,Raheim Sanders,RB,1,10,10.0,10,0,SC
768,758,Malik Sherrod,RB,2,10,5.0,11,0,FRES
769,758,Emmanuel Henderson Jr.,WR,1,10,10.0,10,0,ALA
770,758,Carter Campbell,WR,1,10,10.0,10,0,SMU
771,758,Savion Red,RB,2,10,5.0,14,0,NEV
772,758,Noah ThomasTA&M,WR,1,10,10.0,10,0,
773,758,William Fowles,WR,1,10,10.0,10,0,APP
774,758,Gavin Freeman,WR,2,10,5.0,6,0,OKST
775,758,Charles Kellom,RB,3,10,3.3,9,0,AKR
776,758,Beni Ngoyi,WR,1,10,10.0,10,0,ISU
777,758,DeSean Bishop,RB,1,10,10.0,10,0,TENN
778,758,Keyjuan Brown,RB,2,10,5.0,7,0,LOU
779,758,Reed Harris,WR,1,10,10.0,10,0,BC
780,758,Alex Tecza,FB,1,10,10.0,10,0,NAVY
781,758,Jacory Barney Jr.,WR,1,10,10.0,10,0,NEB
782,758,Ty Stamey,TE,2,10,5.0,8,0,UL
783,758,Cam Edwards,RB,1,10,10.0,10,0,CONN
784,758,Jediyah Willoughby,WR,1,10,10.0,10,0,TOL
785,758,Micah Ford,RB,2,10,5.0,9,0,STAN
786,787,Aaron Young,RB,2,9,4.5,6,0,ODU
787,787,Cam McCormick,TE,1,9,9.0,9,1,MIA
788,787,Ahmari Huggins-BruceLOU/,WR,1,9,9.0,9,0,SC
789,787,Jontavis Robertson,WR,1,9,9.0,9,0,DUKE
790,787,Jameson Geers,TE,1,9,9.0,9,0,MINN
791,787,Mason Tharp,TE,1,9,9.0,9,0,TTU
792,787,Donaven McCulley,WR,1,9,9.0,9,0,IU
793,787,Josh Hardeman,WR,1,9,9.0,9,0,USF
794,787,Reggie Brown,TE,1,9,9.0,9,0,TULN
795,787,Larry Simmons,WR,1,9,9.0,9,0,USM
796,787,Calvin Johnson,WR,1,9,9.0,9,0,IINU
797,787,Ben Ford,WR,1,9,9.0,9,0,BOIS
798,787,Bryson Rodgers,WR,1,9,9.0,9,0,OSU
799,787,Senika McKie,WR,1,9,9.0,9,1,CCU
800,787,Jacob Barrick,TE,1,9,9.0,9,0,JVST
801,787,Dawson Pendergrass,RB,2,9,4.5,8,0,BAY
802,787,Peyton Jones,RB,1,9,9.0,9,0,DUKE
803,787,Isaac Brown,RB,1,9,9.0,9,0,LOU
804,787,Eli Wood,WR,2,9,4.5,5,0,UVA
805,787,Titus Lyons,TE,1,9,9.0,9,0,TXST
806,787,KJ Duff,WR,1,9,9.0,9,0,RUTG
807,787,Luca Caldarella,WR,1,9,9.0,9,0,UTAH
808,787,Bailey Stockton,WR,1,9,9.0,9,0,GT
809,787,Rahji Dennis,WR,1,9,9.0,9,0,UL
810,787,Brandon Hawkins Jr.,WR,1,9,9.0,9,1,UAB
811,787,Conner Cravaack,TE,1,9,9.0,9,0,AKR
812,787,Luke Hutchison,WR,1,9,9.0,9,0,NAVY
813,787,Andre Davis,WR,1,9,9.0,9,0,KSU
814,815,Lee Witherspoon,RB,2,8,4.0,8,0,UAB
815,815,Patrick Garwo,RB,1,8,8.0,8,0,IIINEV
816,815,Gavin Williams,RB,2,8,4.0,8,0,NIU
817,815,Kejon Owens,RB,1,8,8.0,8,0,FIU
818,815,Kody Epps,WR,2,8,4.0,5,0,BYU
819,815,John Gentry,RB,1,8,8.0,8,0,SHSU
820,815,Rodrigues Clark,RB,2,8,4.0,5,0,USM
821,815,RJ Harvey,RB,1,8,8.0,8,0,UCF
822,815,Billy Riviere,TE,1,8,8.0,8,0,IIIWSU
823,815,Dylan Goffney,WR,1,8,8.0,8,0,CSU
824,815,CJ Dippre,TE,1,8,8.0,8,0,ALA
825,815,Kelan Robinson,WR,1,8,8.0,8,0,ECU
826,815,Jamaal Bell,WR,1,8,8.0,8,0,BAY
827,815,Jacob Coleman,TE,1,8,8.0,8,0,MTSU
828,815,Shawn Miller,WR,1,8,8.0,8,0,UNM
829,815,Robert Lewis,WR,1,8,8.0,8,0,AUB
830,815,Umari Hatcher,WR,1,8,8.0,8,0,SYR
831,815,Grant Page,WR,1,8,8.0,8,0,USU
832,815,DJ Rogers,TE,1,8,8.0,8,0,TCU
833,815,Jasaiah Gathings,WR,1,8,8.0,8,0,CONN
834,815,Kaleb Johnson,RB,1,8,8.0,8,0,IOWA
835,815,Maurice Turner,RB,1,8,8.0,8,0,LOU
836,815,Jeremiah Hasley,TE,2,8,4.0,7,1,DUKE
837,815,Rodney Gallagher,WR,1,8,8.0,8,0,IIIWVU
838,815,Xavier Irvin,WR,1,8,8.0,8,0,TEM
839,815,Victor Rosa,RB,1,8,8.0,8,0,CONN
840,815,Robert Smith,WR,1,8,8.0,8,0,MD
841,815,Karsyn Pupunu,WR,1,8,8.0,8,0,HAW
842,815,Terron Kellman,RB,1,8,8.0,8,0,CLT
843,815,Semaj Morgan,WR,2,8,4.0,8,0,MICH
844,815,Taven Curry,RB,1,8,8.0,8,0,ULM
845,815,Parker Jenkins,RB,2,8,4.0,6,0,HOU
846,815,Cooper Rusk,WR,2,8,4.0,8,0,TOL
847,815,Darrell Gill Jr.,WR,1,8,8.0,8,0,SYR
848,815,Landon Baptiste,WR,1,8,8.0,8,0,UL
849,815,Jake Godfrey,WR,1,8,8.0,8,0,ULM
850,815,Jeremiah Patterson,WR,1,8,8.0,8,0,ARIZ
851,852,Woody Marks,RB,3,7,2.3,5,0,USC
852,852,Sevaughn Clark,RB,1,7,7.0,7,0,TOL
853,852,Diante Vines,WR,4,7,1.8,4,0,ODU
854,852,Keanu Hill,TE,1,7,7.0,7,0,BYU
855,852,Rivaldo Fairweather,TE,1,7,7.0,7,0,AUB
856,852,Jaison Patterson,RB,1,7,7.0,7,0,BGSU
857,852,Julian Gray,WR,1,7,7.0,7,0,LIB
858,852,Lewis Bond,WR,1,7,7.0,7,0,BC
859,852,Joseph Manjack,WR,3,7,2.3,4,1,IVHOU
860,852,Sackett Wood Jr.,TE,1,7,7.0,7,0,UVA
861,852,Jake Johnson,TE,1,7,7.0,7,0,UNC
862,852,Armani Winfield,WR,1,7,7.0,7,0,CSU
863,852,Frank Peasant,RB,1,7,7.0,7,0,MTSU
864,852,Payton Mangrum,WR,1,7,7.0,7,0,SC
865,852,Nate Sullivan Jr.,TE,1,7,7.0,7,0,ULM
866,852,Aidan Laughery,RB,2,7,3.5,7,0,ILL
867,852,Richard Reese,RB,2,7,3.5,5,0,BAY
868,852,Amari Niblack,TE,1,7,7.0,7,0,TEX
869,852,Christian Hamilton,WR,1,7,7.0,7,0,UNC
870,852,Malachi Riley,WR,1,7,7.0,7,0,ARIZ
871,852,Mack Moeller,WR,1,7,7.0,7,0,KU
872,852,Johncarlos Miller,TE,1,7,7.0,7,0,IITTU
873,852,Jeremiah Noga,WR,1,7,7.0,7,0,ORST
874,852,Isaac Schoenfeld,TE,1,7,7.0,7,0,WYO
875,852,Braylon McReynolds,RB,1,7,7.0,7,0,USA
876,852,Jahiem White,RB,2,7,3.5,6,0,WVU
877,852,Dominique Henry,WR,1,7,7.0,7,0,FAU
878,852,Harry Lodge,TE,2,7,3.5,4,0,WAKE
879,852,LJ Martin,RB,1,7,7.0,7,1,BYU
880,852,Manny Covey,RB,1,7,7.0,7,0,CIN
881,852,Collin Dixon,WR,1,7,7.0,7,0,ILL
882,852,Baylin Brooks,WR,1,7,7.0,7,0,SDSU
883,852,Braeden Wisloski,WR,1,7,7.0,7,0,MD
884,852,Kam Davis,RB,1,7,7.0,7,0,FSU
885,852,Jordan Ross,WR,1,7,7.0,7,0,CSU
886,852,Drelon Miller,WR,2,7,3.5,6,0,COLO
887,852,Zion Ragins,WR,1,7,7.0,7,0,OU
888,852,Chas Nimrod,WR,1,7,7.0,7,0,TENN
889,852,Tyler Little,TE,1,7,7.0,7,0,ARST
890,852,Samari Howard,RB,1,7,7.0,7,0,ARMY
891,852,T.J. Moore,WR,1,7,7.0,7,0,CLEM
892,893,Terrell McDonald,TE,1,6,6.0,6,0,UAB
893,893,Jayden Ballard,WR,1,6,6.0,6,0,OSU
894,893,LJ Johnson Jr.,RB,1,6,6.0,6,0,SMU
895,893,Dalevon Campbell,WR,1,6,6.0,6,0,SC
896,893,Nick Kallerup,TE,1,6,6.0,6,0,MINN
897,893,Rahjai Harris,RB,1,6,6.0,6,0,ECU
898,893,Keagan Johnson,WR,1,6,6.0,6,0,KSU
899,893,Justin Lynch,RB,1,6,6.0,6,0,NIU
900,893,Montana Lemonious-Craig,WR,1,6,6.0,6,0,ARIZ
901,893,DJ Thomas-Jones,TE,1,6,6.0,6,0,USA
902,893,Josh Beetham,TE,1,6,6.0,6,0,GT
903,893,Grant Stevens,TE,1,6,6.0,6,0,UCF
904,893,CJ Campbell Jr.,RB,2,6,3.0,4,0,FAU
905,893,DJ Giddens,RB,3,6,2.0,5,0,KSU
906,893,Henry Rutledge,RB,1,6,6.0,6,0,CLT
907,893,Finn Hogan,WR,1,6,6.0,6,0,BGSU
908,893,Kyle Parker,WR,1,6,6.0,6,0,LSU
909,893,Kade Eldridge,TE,1,6,6.0,6,0,USC
910,893,CJ Donaldson Jr.,RB,1,6,6.0,6,0,WVU
911,893,Noah Short,RB,1,6,6.0,6,0,ARMY
912,893,Cade Harris,WR,1,6,6.0,6,0,AFA
913,893,Naquari Rogers,RB,1,6,6.0,6,1,UNM
914,893,Cataurus Hicks,WR,1,6,6.0,6,0,LOU
915,893,Rickey Hunt Jr.,RB,1,6,6.0,6,0,OHIO
916,893,Joshua Porter,WR,1,6,6.0,6,0,USF
917,893,JQ Gray,RB,1,6,6.0,6,0,USM
918,893,Tylor Latham,RB,1,6,6.0,6,0,AFA
919,920,Colby Bowman,WR,1,5,5.0,5,0,USU
920,920,Darwin Barlow,RB,1,5,5.0,5,0,UNC
921,920,Drake Dabney,TE,1,5,5.0,5,0,TCU
922,920,Izayah Cummings,TE,1,5,5.0,5,0,LOU
923,920,Darion Williamson,WR,1,5,5.0,5,0,FSU
924,920,Daniel Carter,RB,1,5,5.0,5,0,PITT
925,920,George Johnson,WR,1,5,5.0,5,0,IIIFAU
926,920,Abdul-Fatai Ibrahim,WR,1,5,5.0,5,0,LT
927,920,Silas Bolden,WR,1,5,5.0,5,1,TEX
928,920,Braydon Bennett,RB,1,5,5.0,5,0,CCU
929,920,Tanner Arkin,TE,1,5,5.0,5,1,ILL
930,920,Bill Jackson,RB,1,5,5.0,5,0,TLSA
931,920,Devin Mockobee,RB,2,5,2.5,3,0,PUR
932,920,Malachi Thomas,RB,1,5,5.0,5,0,VT
933,920,DJ Jones,RB,1,5,5.0,5,0,WYO
934,920,Tyler Neville,TE,1,5,5.0,5,0,UVA
935,920,Deuce Spann,WR,1,5,5.0,5,0,FSU
936,920,K.D. Hutchinson,WR,2,5,2.5,5,0,WKU
937,920,Jaquez Moore,RB,1,5,5.0,5,0,DUKE
938,920,Emmett Johnson,RB,1,5,5.0,5,0,NEB
939,920,Lamar Seymore,WR,1,5,5.0,5,0,PITT
940,920,Israel Polk,WR,1,5,5.0,5,0,AKR
941,920,Barry Jackson Jr.,WR,1,5,5.0,5,0,CIN
942,920,JeyQuan Smith,WR,1,5,5.0,5,0,USF
943,920,Caleb Gossett,WR,1,5,5.0,5,0,OHIO
944,920,Bryant Wesco Jr.,WR,1,5,5.0,5,0,CLEM
945,920,Hunter Summers,WR,1,5,5.0,5,0,ARST
946,920,Olsen Patt-Henry,TE,1,5,5.0,5,0,CLEM
947,920,Marcus Vinson,TE,1,5,5.0,5,0,UTEP
948,920,Kade Frew,RB,1,5,5.0,5,0,AFA
949,920,Kyle Koch,WR,1,5,5.0,5,0,UNT
950,920,Samario Rudolph,WR,1,5,5.0,5,0,JVST
951,952,Jarrad Baker,WR,1,4,4.0,4,0,UCF
952,952,Dalvin Smith,WR,2,4,2.0,2,0,WKU
953,952,Malik Hornsby,WR,1,4,4.0,4,0,ARST
954,952,Chris Long,WR,1,4,4.0,4,0,RUTG
955,952,Money Parks,WR,1,4,4.0,4,0,UTAH
956,952,Doug Emilien,WR,1,4,4.0,4,1,KU
957,952,Trevor Kardell,TE,1,4,4.0,4,0,KU
958,952,Stacy Sneed,RB,1,4,4.0,4,0,HOU
959,952,Jayden Harrison,WR,2,4,2.0,6,0,ND
960,952,Kyle Maxwell,WR,1,4,4.0,4,0,WSU
961,952,Andrel Anthony,WR,1,4,4.0,4,0,OU
962,952,Peter Montini,TE,1,4,4.0,4,0,CSU
963,952,Tahj Bullock,QB,2,4,2.0,5,0,AKR
964,952,Jaleel Skinner,TE,1,4,4.0,4,0,LOU
965,952,Bryce Childress,WR,1,4,4.0,4,0,WKU
966,952,Arlis Boardingham,TE,1,4,4.0,4,0,FLA
967,952,Branson Robinson,RB,2,4,2.0,9,0,UGA
968,952,Xavier Townsend,WR,1,4,4.0,4,0,UCF
969,952,Major Everhart,WR,1,4,4.0,4,0,TCU
970,952,Bryce Duke,RB,1,4,4.0,4,0,ODU
971,952,Jace Wilson,WR,1,4,4.0,4,0,UTSA
972,952,Brett Norfleet,TE,1,4,4.0,4,0,MIZ
973,952,Josh Cuevas,TE,1,4,4.0,4,0,ALA
974,952,Kye Robichaux,RB,1,4,4.0,4,1,BC
975,952,Ashton Jeanty,RB,3,4,1.3,6,0,BOIS
976,952,Durell Robinson,RB,2,4,2.0,4,0,CONN
977,952,Justius Lowe,WR,1,4,4.0,4,0,ORE
978,952,Quinten Joyner,RB,1,4,4.0,4,0,USC
979,952,CJ Hester,RB,2,4,2.0,6,0,MASS
980,952,Taeshaun Lyons,WR,1,4,4.0,4,0,UTAH
981,952,Michael Smith,TE,2,4,2.0,7,0,SC
982,952,Keegan Holles,RB,1,4,4.0,4,0,CSU
983,952,L.T. Sanders,RB,1,4,4.0,4,0,WKU
984,952,Yamir Knight,WR,1,4,4.0,4,0,JMU
985,952,Keelan Smith,WR,1,4,4.0,4,0,NEB
986,952,Jamari Ferrell,RB,1,4,4.0,4,0,WYO
987,952,Donerio Davenport,RB,1,4,4.0,4,0,LT
988,952,Branden Ganashamoorthy,WR,1,4,4.0,4,0,WSU
989,952,Mario Anderson,RB,1,4,4.0,4,0,MEM
990,952,Kris Hughes,WR,2,4,2.0,4,0,LOU
991,992,Chez Mellusi,RB,1,3,3.0,3,0,WIS
992,992,Keegan Jones,RB,1,3,3.0,3,0,UCLA
993,992,Armoni Goodwin,RB,1,3,3.0,3,0,UAB
994,992,Josh Williams,RB,1,3,3.0,3,0,LSU
995,992,Miki Suguturaga,TE,1,3,3.0,3,0,UTAH
996,992,Tyler Purdy,RB,1,3,3.0,3,0,JMU
997,992,Jordan Dingle,TE,2,3,1.5,5,1,UK
998,992,Treylan Davis,TE,1,3,3.0,3,0,WVU
999,992,Josh McCray,RB,1,3,3.0,3,0,ILL
1000,992,Zuberi Mobley,RB,1,3,3.0,3,0,FAU
1001,992,Jaylon Jackson,RB,1,3,3.0,3,0,ISU
1002,992,Anthony Tyus,RB,2,3,1.5,6,0,IIIOHIO
1003,992,Manny Stevenson Jr.,TE,1,3,3.0,3,0,ARST
1004,992,Rodney Harris,WR,1,3,3.0,3,0,IIOHIO
1005,992,Chedon James,WR,1,3,3.0,3,0,FRES
1006,992,Jeremiyah Love,RB,1,3,3.0,3,0,ND
1007,992,Creed Whittemore,WR,1,3,3.0,3,0,MSST
1008,992,Bryce Damous,TE,1,3,3.0,3,0,UAB
1009,992,Cam Cook,RB,1,3,3.0,3,0,TCU
1010,992,George Burhenn,TE,1,3,3.0,3,0,PUR
1011,992,Luke McGary,TE,1,3,3.0,3,0,TLSA
1012,992,Elijah Boyd,TE,1,3,3.0,3,0,BGSU
1013,992,Ashton Nickelberry,WR,1,3,3.0,3,0,UTEP
1014,1015,Bentley Hanshaw,TE,1,2,2.0,2,1,LIB
1015,1015,Juwaun Price,RB,1,2,2.0,2,0,UNT
1016,1015,Keyvone Lee,RB,1,2,2.0,2,0,MSST
1017,1015,Chris Toudle,TE,1,2,2.0,2,0,WMU
1018,1015,Blake Nowell,WR,1,2,2.0,2,0,TCU
1019,1015,B.J. Harris,RB,1,2,2.0,2,0,CMU
1020,1015,Nate McCollum,WR,1,2,2.0,2,0,UNC
1021,1015,Justin Ball,TE,1,2,2.0,2,0,MSST
1022,1015,Christian Leary,WR,1,2,2.0,2,0,GT
1023,1015,Trent Howland,RB,1,2,2.0,2,0,OKST
1024,1015,O'Mega Blake,WR,1,2,2.0,2,0,CLT
1025,1015,Tyson Thompson,WR,1,2,2.0,2,0,RICE
1026,1015,Ethan Payne,RB,1,2,2.0,2,0,MRSH
1027,1015,Hank Beatty,WR,2,2,1.0,3,0,ILL
1028,1015,Jeremiah Cobb,RB,1,2,2.0,2,0,AUB
1029,1015,Zylan Perry,RB,1,2,2.0,2,0,UL
1030,1015,Nolan Ray,RB,1,2,2.0,2,0,MD
1031,1015,Ivan Carreon,WR,1,2,2.0,2,0,OU
1032,1015,Vaughn Blue,RB,1,2,2.0,2,0,LIB
1033,1015,Paul Davis,WR,1,2,2.0,2,0,AKR
1034,1015,Jarvis Rush,WR,1,2,2.0,2,0,AKR
1035,1036,Jackson Acker,RB,1,1,1.0,1,0,WIS
1036,1036,Sol-Jay Maiava-Peters,RB,1,1,1.0,1,0,UNM
1037,1036,Zak Wallace,RB,1,1,1.0,1,0,ARST
1038,1036,Thomas Fidone,TE,3,1,0.3,2,0,IINEB
1039,1036,Jake Clemons,TE,1,1,1.0,1,0,CLT
1040,1036,Montrell Johnson Jr.,RB,1,1,1.0,1,0,FLA
1041,1036,Cristian Driver,WR,1,1,1.0,1,0,MINN
1042,1036,Shaleak Knotts,WR,1,1,1.0,1,0,MD
1043,1036,Jordan McCants,WR,1,1,1.0,1,0,JVST
1044,1036,Cole Turner,WR,1,1,1.0,1,0,CLEM
1045,1036,Justin Marshall,RB,1,1,1.0,1,0,CSU
1046,1036,Jordan Lyle,RB,1,1,1.0,1,0,MIA
1047,1036,Anwar Lewis,RB,1,1,1.0,1,0,JVST
1048,1036,Dalton Carnes,WR,1,1,1.0,1,0,UNT
1049,1050,Ethan Hall,TE,1,-1,-1.0,-1,0,TLSA
1050,1050,Nate Carter,RB,1,-1,-1.0,0,0,MSU
1051,1050,OJ Arnold,RB,1,-1,-1.0,0,0,GASO
1052,1050,Kendrick Raphael,RB,2,-1,-0.5,2,0,NCSU
1053,1050,Anthony Carrie,RB,1,-1,-1.0,0,0,GT
1054,1050,Chris Barnes,WR,1,-1,-1.0,-1,0,WSU
1055,1050,Mark-Anthony Scott Jr.,RB,1,-1,-1.0,-1,0,BUFF
1056,1057,Chris Carpenter,WR,1,-2,-2.0,0,0,UTSA
1057,1057,Cameron Seldon,RB,1,-2,-2.0,0,0,TENN
1058,1057,Ryan Niblett,WR,1,-2,-2.0,0,0,TEX
1059,1057,Joquez Smith,RB,1,-2,-2.0,0,0,TEM
1060,1057,Jordan Lovett,RB,2,-2,-1.0,1,0,TROY
1061,1062,Phil Mafah,RB,2,-3,-1.5,2,0,CLEM
1062,1062,Elijah Gilliam,RB,1,-3,-3.0,0,0,FRES
1063,1062,Tiaquelin Mims,WR,2,-3,-1.5,-1,0,USM
1064,1062,Que'Sean Brown,WR,1,-3,-3.0,-3,0,DUKE
1065,1066,Dontae McMillan,RB,1,-5,-5.0,0,0,EMU
1066,1067,Braylon Burnside,WR,1,-6,-6.0,-6,0,MSST
1067,1068,TJ Finley,QB,1,-7,-7.0,0,0,WKU
